LMGL05030001,S-TGD-1-PA,"3-HSO3-Gal-alpha1-6-Man-beta1-2-Glc-alpha1-1-[2,3-di-O-phytanyl-sn-glycerol]-6-[phospho-2,3-di-O-phytanyl-sn-glycerol]",C104H205O26PS   ,1933.4178,Glycerolipids [GL],Glycosyldiradylglycerols [GL05],Glycosyldialkylglycerols [GL0503]
LMGL03016570,"TG(18:4(6Z,9Z,12Z,15Z)/19:1(9Z)/20:1(11Z))[iso6]","1-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-2-9Z-nonadecenoyl-3-(11Z-eicosenoyl)-sn-glycerol",C60H104O6   ,920.7833,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010723,"TG(17:1(9Z)/20:2(11Z,14Z)/20:2(11Z,14Z))[iso3]","1-(9Z-heptadecenoyl)-2,3-di-(11Z,14Z-eicosadienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010724,"TG(17:2(9Z,12Z)/20:1(11Z)/20:2(11Z,14Z))[iso6]","1-(9Z,12Z-heptadecadienoyl)-2-(11Z-eicosenoyl)-3-(11Z,14Z-eicosadienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010729,"TG(17:0/20:2(11Z,14Z)/20:3(8Z,11Z,14Z))[iso6]","1-heptadecanoyl-2-(11Z,14Z-eicosadienoyl)-3-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010730,"TG(17:1(9Z)/20:1(11Z)/20:3(8Z,11Z,14Z))[iso6]","1-(9Z-heptadecenoyl)-2-(11Z-eicosenoyl)-3-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010731,"TG(17:2(9Z,12Z)/20:0/20:3(8Z,11Z,14Z))[iso6]","1-(9Z,12Z-heptadecadienoyl)-2-eicosanoyl-3-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010737,"TG(17:0/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))[iso6]","1-heptadecanoyl-2-(11Z-eicosenoyl)-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010738,"TG(17:1(9Z)/20:0/20:4(5Z,8Z,11Z,14Z))[iso6]","1-(9Z-heptadecenoyl)-2-eicosanoyl-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010744,"TG(17:0/20:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","1-heptadecanoyl-2-eicosanoyl-3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010837,"TG(17:0/18:2(9Z,12Z)/22:3(10Z,13Z,16Z))[iso6]","1-heptadecanoyl-2-(9Z,12Z-octadecadienoyl)-3-(10Z,13Z,16Z-docosatrienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010838,"TG(17:1(9Z)/18:1(9Z)/22:3(10Z,13Z,16Z))[iso6]","1-(9Z-heptadecenoyl)-2-(9Z-octadecenoyl)-3-(10Z,13Z,16Z-docosatrienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010839,"TG(17:2(9Z,12Z)/18:0/22:3(10Z,13Z,16Z))[iso6]","1-(9Z,12Z-heptadecadienoyl)-2-octadecanoyl-3-(10Z,13Z,16Z-docosatrienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010863,"TG(18:3(9Z,12Z,15Z)/19:0/20:2(11Z,14Z))[iso6]","1-(9Z,12Z,15Z-octadecatrienoyl)-2-nonadecanoyl-3-(11Z,14Z-eicosadienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010868,"TG(18:2(9Z,12Z)/19:0/20:3(8Z,11Z,14Z))[iso6]","1-(9Z,12Z-octadecadienoyl)-2-nonadecanoyl-3-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010875,"TG(18:1(9Z)/19:0/20:4(5Z,8Z,11Z,14Z))[iso6]","1-(9Z-octadecenoyl)-2-nonadecanoyl-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010882,"TG(18:0/19:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","1-octadecanoyl-2-nonadecanoyl-3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010896,"TG(17:2(9Z,12Z)/18:3(9Z,12Z,15Z)/22:0)[iso6]","1-(9Z,12Z-heptadecadienoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-3-docosanoyl-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010902,"TG(17:1(9Z)/18:3(9Z,12Z,15Z)/22:1(13Z))[iso6]","1-(9Z-heptadecenoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-3-(13Z-docosenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010903,"TG(17:2(9Z,12Z)/18:2(9Z,12Z)/22:1(13Z))[iso6]","1-(9Z,12Z-heptadecadienoyl)-2-(9Z,12Z-octadecadienoyl)-3-(13Z-docosenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010918,"TG(17:0/18:1(9Z)/22:4(7Z,10Z,13Z,16Z))[iso6]","1-heptadecanoyl-2-(9Z-octadecenoyl)-3-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010919,"TG(17:1(9Z)/18:0/22:4(7Z,10Z,13Z,16Z))[iso6]","1-(9Z-heptadecenoyl)-2-octadecanoyl-3-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010923,"TG(17:0/18:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","1-heptadecanoyl-2-octadecanoyl-3-(7Z,10Z,13Z,16Z,19Z-docosapentaenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010985,"TG(17:0/18:3(9Z,12Z,15Z)/22:2(13Z,16Z))[iso6]","1-heptadecanoyl-2-(9Z,12Z,15Z-octadecatrienoyl)-3-(13Z,16Z-docosadienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010986,"TG(17:1(9Z)/18:2(9Z,12Z)/22:2(13Z,16Z))[iso6]","1-(9Z-heptadecenoyl)-2-(9Z,12Z-octadecadienoyl)-3-(13Z,16Z-docosadienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010987,"TG(17:2(9Z,12Z)/18:1(9Z)/22:2(13Z,16Z))[iso6]","1-(9Z,12Z-heptadecadienoyl)-2-(9Z-octadecenoyl)-3-(13Z,16Z-docosadienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03011027,"TG(16:0/20:5(5Z,8Z,11Z,14Z,17Z)/21:0)[iso6]","1-hexadecanoyl-2-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-3-heneicosanoyl-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03011028,"TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/21:0)[iso6]","1-(9Z-hexadecenoyl)-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-3-heneicosanoyl-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03011034,"TG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/21:0)[iso6]","1-(9Z,12Z-octadecadienoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-3-heneicosanoyl-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03011064,"TG(16:1(9Z)/19:0/22:4(7Z,10Z,13Z,16Z))[iso6]","1-(9Z-hexadecenoyl)-2-nonadecanoyl-3-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03011069,"TG(16:0/19:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","1-hexadecanoyl-2-nonadecanoyl-3-(7Z,10Z,13Z,16Z,19Z-docosapentaenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014120,"TG(13:0/22:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","1-tridecanoyl-2-docosanoyl-3-(7Z,10Z,13Z,16Z,19Z-docosapentaenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014124,"TG(13:0/22:1(11Z)/22:4(7Z,10Z,13Z,16Z))[iso6]","1-tridecanoyl-2-11Z-docosenoyl-3-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014127,"TG(13:0/22:2(13Z,16Z)/22:3(10Z,13Z,16Z))[iso6]","1-tridecanoyl-2-(13Z,16Z-docosadienoyl)-3-(10Z,13Z,16Z-docosatrienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014549,"TG(14:0/21:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","1-tetradecanoyl-2-heneicosanoyl-3-(7Z,10Z,13Z,16Z,19Z-docosapentaenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014954,"TG(14:1(9Z)/21:0/22:4(7Z,10Z,13Z,16Z))[iso6]","1-(9Z-tetradecenoyl)-2-heneicosanoyl-3-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015276,"TG(15:0/20:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","1-pentadecanoyl-2-eicosanoyl-3-(7Z,10Z,13Z,16Z,19Z-docosapentaenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015287,"TG(15:0/20:1(11Z)/22:4(7Z,10Z,13Z,16Z))[iso6]","1-pentadecanoyl-2-(11Z-eicosenoyl)-3-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015297,"TG(15:0/20:2(11Z,14Z)/22:3(10Z,13Z,16Z))[iso6]","1-pentadecanoyl-2-(11Z,14Z-eicosadienoyl)-3-(10Z,13Z,16Z-docosatrienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015306,"TG(15:0/20:3(8Z,11Z,14Z)/22:2(13Z,16Z))[iso6]","1-pentadecanoyl-2-(8Z,11Z,14Z-eicosatrienoyl)-3-(13Z,16Z-docosadienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015314,"TG(15:0/20:4(5Z,8Z,11Z,14Z)/22:1(11Z))[iso6]","1-pentadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-3-11Z-docosenoyl-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015321,"TG(15:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:0)[iso6]","1-pentadecanoyl-2-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-3-docosanoyl-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015626,"TG(15:1(9Z)/20:0/22:4(7Z,10Z,13Z,16Z))[iso6]","1-(9Z-pentadecenoyl)-2-eicosanoyl-3-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015637,"TG(15:1(9Z)/20:1(11Z)/22:3(10Z,13Z,16Z))[iso6]","1-(9Z-pentadecenoyl)-2-(11Z-eicosenoyl)-3-(10Z,13Z,16Z-docosatrienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015647,"TG(15:1(9Z)/20:2(11Z,14Z)/22:2(13Z,16Z))[iso6]","1-(9Z-pentadecenoyl)-2-(11Z,14Z-eicosadienoyl)-3-(13Z,16Z-docosadienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015656,"TG(15:1(9Z)/20:3(8Z,11Z,14Z)/22:1(11Z))[iso6]","1-(9Z-pentadecenoyl)-2-(8Z,11Z,14Z-eicosatrienoyl)-3-11Z-docosenoyl-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015664,"TG(15:1(9Z)/20:4(5Z,8Z,11Z,14Z)/22:0)[iso6]","1-(9Z-pentadecenoyl)-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-3-docosanoyl-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015785,"TG(16:0/19:1(9Z)/22:4(7Z,10Z,13Z,16Z))[iso6]","1-hexadecanoyl-2-9Z-nonadecenoyl-3-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015875,"TG(16:1(9Z)/19:1(9Z)/22:3(10Z,13Z,16Z))[iso6]","1-(9Z-hexadecenoyl)-2-9Z-nonadecenoyl-3-(10Z,13Z,16Z-docosatrienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015926,"TG(17:0/18:3(6Z,9Z,12Z)/22:2(13Z,16Z))[iso6]","1-heptadecanoyl-2-(6Z,9Z,12Z-octadecatrienoyl)-3-(13Z,16Z-docosadienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015944,"TG(17:0/18:4(6Z,9Z,12Z,15Z)/22:1(11Z))[iso6]","1-heptadecanoyl-2-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-3-11Z-docosenoyl-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03016008,"TG(17:1(9Z)/18:3(6Z,9Z,12Z)/22:1(11Z))[iso6]","1-(9Z-heptadecenoyl)-2-(6Z,9Z,12Z-octadecatrienoyl)-3-11Z-docosenoyl-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03016016,"TG(17:1(9Z)/18:3(9Z,12Z,15Z)/22:1(11Z))[iso6]","1-(9Z-heptadecenoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-3-11Z-docosenoyl-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03016026,"TG(17:1(9Z)/18:4(6Z,9Z,12Z,15Z)/22:0)[iso6]","1-(9Z-heptadecenoyl)-2-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-3-docosanoyl-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03016074,"TG(17:2(9Z,12Z)/18:2(9Z,12Z)/22:1(11Z))[iso6]","1-(9Z,12Z-heptadecadienoyl)-2-(9Z,12Z-octadecadienoyl)-3-11Z-docosenoyl-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03016086,"TG(17:2(9Z,12Z)/18:3(6Z,9Z,12Z)/22:0)[iso6]","1-(9Z,12Z-heptadecadienoyl)-2-(6Z,9Z,12Z-octadecatrienoyl)-3-docosanoyl-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03016193,"TG(18:0/19:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]","1-octadecanoyl-2-9Z-nonadecenoyl-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03016250,"TG(18:1(9Z)/18:4(6Z,9Z,12Z,15Z)/21:0)[iso6]","1-(9Z-octadecenoyl)-2-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-3-heneicosanoyl-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03016263,"TG(18:1(9Z)/19:1(9Z)/20:3(8Z,11Z,14Z))[iso6]","1-(9Z-octadecenoyl)-2-9Z-nonadecenoyl-3-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03016298,"TG(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)/21:0)[iso6]","1-(9Z,12Z-octadecadienoyl)-2-(6Z,9Z,12Z-octadecatrienoyl)-3-heneicosanoyl-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03016329,"TG(18:2(9Z,12Z)/19:1(9Z)/20:2(11Z,14Z))[iso6]","1-(9Z,12Z-octadecadienoyl)-2-9Z-nonadecenoyl-3-(11Z,14Z-eicosadienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03016391,"TG(18:3(6Z,9Z,12Z)/19:0/20:2(11Z,14Z))[iso6]","1-(6Z,9Z,12Z-octadecatrienoyl)-2-nonadecanoyl-3-(11Z,14Z-eicosadienoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03016404,"TG(18:3(6Z,9Z,12Z)/19:1(9Z)/20:1(11Z))[iso6]","1-(6Z,9Z,12Z-octadecatrienoyl)-2-9Z-nonadecenoyl-3-(11Z-eicosenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03016527,"TG(18:3(9Z,12Z,15Z)/19:1(9Z)/20:1(11Z))[iso6]","1-(9Z,12Z,15Z-octadecatrienoyl)-2-9Z-nonadecenoyl-3-(11Z-eicosenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03016556,"TG(18:4(6Z,9Z,12Z,15Z)/19:0/20:1(11Z))[iso6]","1-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-2-nonadecanoyl-3-(11Z-eicosenoyl)-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03016569,"TG(18:4(6Z,9Z,12Z,15Z)/19:1(9Z)/20:0)[iso6]","1-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-2-9Z-nonadecenoyl-3-eicosanoyl-sn-glycerol",C60H106O6   ,922.7989,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010654,"TG(17:2(9Z,12Z)/20:1(11Z)/20:1(11Z))[iso3]","1-(9Z,12Z-heptadecadienoyl)-2,3-di-(11Z-eicosenoyl)-sn-glycerol",C60H108O6   ,924.8146,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010658,"TG(17:0/20:2(11Z,14Z)/20:2(11Z,14Z))[iso3]","1-heptadecanoyl-2,3-di-(11Z,14Z-eicosadienoyl)-sn-glycerol",C60H108O6   ,924.8146,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010659,"TG(17:1(9Z)/20:1(11Z)/20:2(11Z,14Z))[iso6]","1-(9Z-heptadecenoyl)-2-(11Z-eicosenoyl)-3-(11Z,14Z-eicosadienoyl)-sn-glycerol",C60H108O6   ,924.8146,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010660,"TG(17:2(9Z,12Z)/20:0/20:2(11Z,14Z))[iso6]","1-(9Z,12Z-heptadecadienoyl)-2-eicosanoyl-3-(11Z,14Z-eicosadienoyl)-sn-glycerol",C60H108O6   ,924.8146,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010666,"TG(17:0/20:1(11Z)/20:3(8Z,11Z,14Z))[iso6]","1-heptadecanoyl-2-(11Z-eicosenoyl)-3-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",C60H108O6   ,924.8146,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010667,"TG(17:1(9Z)/20:0/20:3(8Z,11Z,14Z))[iso6]","1-(9Z-heptadecenoyl)-2-eicosanoyl-3-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",C60H108O6   ,924.8146,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010673,"TG(17:0/20:0/20:4(5Z,8Z,11Z,14Z))[iso6]","1-heptadecanoyl-2-eicosanoyl-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C60H108O6   ,924.8146,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010768,"TG(17:0/18:1(9Z)/22:3(10Z,13Z,16Z))[iso6]","1-heptadecanoyl-2-(9Z-octadecenoyl)-3-(10Z,13Z,16Z-docosatrienoyl)-sn-glycerol",C60H108O6   ,924.8146,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010769,"TG(17:1(9Z)/18:0/22:3(10Z,13Z,16Z))[iso6]","1-(9Z-heptadecenoyl)-2-octadecanoyl-3-(10Z,13Z,16Z-docosatrienoyl)-sn-glycerol",C60H108O6   ,924.8146,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010789,"TG(18:3(9Z,12Z,15Z)/19:0/20:1(11Z))[iso6]","1-(9Z,12Z,15Z-octadecatrienoyl)-2-nonadecanoyl-3-(11Z-eicosenoyl)-sn-glycerol",C60H108O6   ,924.8146,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010793,"TG(18:2(9Z,12Z)/19:0/20:2(11Z,14Z))[iso6]","1-(9Z,12Z-octadecadienoyl)-2-nonadecanoyl-3-(11Z,14Z-eicosadienoyl)-sn-glycerol",C60H108O6   ,924.8146,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010799,"TG(18:1(9Z)/19:0/20:3(8Z,11Z,14Z))[iso6]","1-(9Z-octadecenoyl)-2-nonadecanoyl-3-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",C60H108O6   ,924.8146,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010806,"TG(18:0/19:0/20:4(5Z,8Z,11Z,14Z))[iso6]","1-octadecanoyl-2-nonadecanoyl-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C60H108O6   ,924.8146,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010826,"TG(17:1(9Z)/18:3(9Z,12Z,15Z)/22:0)[iso6]","1-(9Z-heptadecenoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-3-docosanoyl-sn-glycerol",C60H108O6   ,924.8146,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010827,"TG(17:2(9Z,12Z)/18:2(9Z,12Z)/22:0)[iso6]","1-(9Z,12Z-heptadecadienoyl)-2-(9Z,12Z-octadecadienoyl)-3-docosanoyl-sn-glycerol",C60H108O6   ,924.8146,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010831,"TG(17:0/18:3(9Z,12Z,15Z)/22:1(13Z))[iso6]","1-heptadecanoyl-2-(9Z,12Z,15Z-octadecatrienoyl)-3-(13Z-docosenoyl)-sn-glycerol",C60H108O6   ,924.8146,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010832,"TG(17:1(9Z)/18:2(9Z,12Z)/22:1(13Z))[iso6]","1-(9Z-heptadecenoyl)-2-(9Z,12Z-octadecadienoyl)-3-(13Z-docosenoyl)-sn-glycerol",C60H108O6   ,924.8146,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
